"TEAM","G","W","EFG_O","TOR","TORD","ORB","DRB","FTR","X2P_O","X3P_O","YEAR","CATEGORIA"
"James Madison",31,10,48,16.5,18.5,28.9,28.2,34.1,46.7,33.5,2018,"NO FINALISTA"
"St. Francis PA",29,18,52.8,16.5,18.6,25.7,31.1,33.5,51.2,37,2018,"NO FINALISTA"
"NJIT",28,14,49.8,18.5,20.3,30,28.6,32.9,48.1,35.3,2018,"NO FINALISTA"
"Bowling Green",30,16,47.3,17.6,16.8,29.7,26.5,36.6,45.1,34.3,2018,"NO FINALISTA"
"Loyola Marymount",30,11,49.3,19.2,19.8,34.6,31.2,32.5,48.2,34.6,2018,"NO FINALISTA"
"UNC Wilmington",30,11,48.9,17.3,15.6,33.8,25.5,31.1,47.4,34.5,2018,"NO FINALISTA"
"Delaware",31,14,50.3,15.8,14.9,26,26.2,34.4,50.7,32.9,2018,"NO FINALISTA"
"Cal St. Bakersfield",27,12,46.5,20.7,19.2,30.7,28.7,34.7,47.5,29.8,2018,"NO FINALISTA"
"California",31,8,44.5,20.8,19.7,34.8,30.6,38.1,45.1,28.6,2018,"NO FINALISTA"
"UTEP",30,11,49.3,17.8,17.4,19,27,30.9,49,33.1,2018,"NO FINALISTA"
"Mount St. Mary's",30,18,54.1,16.2,20.2,20.5,35.4,29.1,52.3,37.3,2018,"NO FINALISTA"
"Pepperdine",31,6,49.5,17.2,15.5,28.5,26.4,35.2,48.8,34.2,2018,"NO FINALISTA"
"Oral Roberts",28,11,48.9,19,15.3,35,30.9,24.3,47.7,34.2,2018,"NO FINALISTA"
"Eastern Illinois",29,12,47.7,20.4,19.3,29.9,29.9,32.2,44.6,35.3,2018,"NO FINALISTA"
"Florida Atlantic",28,12,43.9,18.2,16.6,28.5,27.5,29,42.3,31.9,2018,"NO FINALISTA"
"North Dakota",30,12,51.8,17.4,19.7,19.8,29.5,35.5,51.4,35.1,2018,"NO FINALISTA"
"Cornell",27,12,52.5,18.5,15.7,24.4,30.2,35.1,54,33.4,2018,"NO FINALISTA"
"Southern Utah",30,13,50.4,17.4,16.6,22.6,25.9,35.9,48.2,36.1,2018,"NO FINALISTA"
"Charleston Southern",28,15,49,19.5,22.1,30.2,28.1,31.3,49,32.6,2018,"NO FINALISTA"
"Gardner Webb",29,14,49.1,20.1,17.1,25.2,27.3,28,48.1,34,2018,"NO FINALISTA"
"Hampton",32,19,48.8,16.9,16.9,28.7,29.7,33.8,49.1,32,2018,"NO FINALISTA"
"Drexel",32,13,49.6,17.3,15.6,30.8,30.7,31.8,50.2,32.2,2018,"NO FINALISTA"
"Boston University",30,15,52.8,20.1,20.1,28.3,29.6,32.8,51.1,37.3,2018,"NO FINALISTA"
"Elon",30,14,52.3,16.7,14.2,21.7,28.9,24,52.5,34.7,2018,"NO FINALISTA"
"Southeast Missouri St.",29,14,54.3,18.1,17.2,26.2,29.3,37.7,50.7,39.3,2018,"NO FINALISTA"
"LIU Brooklyn",34,18,52.1,19.5,16.5,29.4,29.8,38.7,52.3,34.6,2018,"FINALISTA"
"Texas Southern",36,16,50.5,17.2,16.2,28.5,32.5,42.9,48.5,35.9,2018,"FINALISTA"
"High Point",27,14,49.3,19.1,20.4,30.9,28.9,34.1,47.6,35.9,2018,"NO FINALISTA"
"Brown",26,11,48.5,18.4,19.3,29.4,26.7,40.4,48.6,32.1,2018,"NO FINALISTA"
"Montana St.",30,13,47.8,17.1,18.4,28.7,27.7,39,46.1,33.8,2018,"NO FINALISTA"
"Green Bay",30,13,48.6,18.6,17.8,25.6,30.9,32.3,44.7,36.2,2018,"NO FINALISTA"
"Portland",29,10,50.6,18.1,15.8,19.2,31.4,34.6,46.5,38.3,2018,"NO FINALISTA"
"Northern Illinois",30,12,49.5,17,17.4,28.2,28.8,33.1,49.8,32.6,2018,"NO FINALISTA"
"South Florida",32,10,48,21.4,16.5,28.8,30.6,33.1,44.8,36.1,2018,"NO FINALISTA"
"UMKC",29,10,47.8,18.2,20,21.3,33.5,34.4,45.6,33.5,2018,"NO FINALISTA"
"New Hampshire",29,10,46.3,17.4,13.7,28.4,21.4,30.5,44.3,32.6,2018,"NO FINALISTA"
"Arkansas St.",30,11,49.4,18.6,18.8,30.2,31.3,33.1,49.2,33.2,2018,"NO FINALISTA"
"Army",29,13,52.3,18.8,19.7,27.1,27.6,24.5,48.8,38.1,2018,"NO FINALISTA"
"Robert Morris",33,16,47.4,20.9,22.3,31.2,31.2,34.3,45.9,33.2,2018,"NO FINALISTA"
"Rice",29,7,48,20.7,16.5,27.6,28.4,35.2,48,32.1,2018,"NO FINALISTA"
"Holy Cross",31,12,52.6,19.1,20,19.3,31.9,29.7,55.1,32.6,2018,"NO FINALISTA"
"Santa Clara",29,11,48.6,17.2,18.9,23.7,27.1,30.2,47.1,33.8,2018,"NO FINALISTA"
"UMass Lowell",29,12,52.1,18.7,20.3,26.3,32.5,39.2,52.4,34.4,2018,"NO FINALISTA"
"North Florida",30,14,53.6,19.3,13.7,25,35,27.7,51.5,37.5,2018,"NO FINALISTA"
"Western Illinois",24,12,49.9,18.6,14.5,18,27.2,28.3,48.6,34.9,2018,"NO FINALISTA"
"Quinnipiac",33,12,50.3,19.4,16.3,27.8,28.5,37,49.8,33.9,2018,"NO FINALISTA"
"Prairie View A&M",33,16,48.9,18.5,22.5,31.3,32.8,39.2,49.2,32.3,2018,"NO FINALISTA"
"Abilene Christian",28,16,50.4,20.3,21.6,27.3,29.7,31.5,51.9,31.8,2018,"NO FINALISTA"
"IUPUI",28,11,48,20.5,21.2,31.9,29.3,32.9,45.2,35.5,2018,"NO FINALISTA"
"Lafayette",30,10,53.3,19.3,14.7,21,27.2,28.8,51.4,37.4,2018,"NO FINALISTA"
"Fairleigh Dickinson",29,13,49.8,19.2,19.3,30.3,35,30.8,49.3,33.9,2018,"NO FINALISTA"
"Eastern Kentucky",29,11,49.8,19.1,19.1,27.1,31.9,33.4,48.2,35.1,2018,"NO FINALISTA"
"UT Rio Grande Valley",31,15,44.8,17.8,20.4,28.2,30.3,41.2,44.3,30.5,2018,"NO FINALISTA"
"Nebraska Omaha",29,9,51.3,18,15.7,24.9,30.7,27.3,50,35.8,2018,"NO FINALISTA"
"Morehead St.",27,8,48.2,22.1,19.9,31,29.9,36.7,48.5,31.8,2018,"NO FINALISTA"
"Cleveland St.",34,12,50.6,18.9,19.5,22.1,32.9,29.4,50.4,34,2018,"NO FINALISTA"
"Fordham",31,9,47.9,18.5,21.1,18.8,32.8,26.9,52.1,28.8,2018,"NO FINALISTA"
"New Orleans",30,16,48.8,21.9,22.3,32.6,30.9,41.5,47.3,35.6,2018,"NO FINALISTA"
"UC Riverside",29,9,45.1,20,19.3,26.8,31.8,32.4,44.1,31.3,2018,"NO FINALISTA"
"McNeese St.",25,12,48.8,19,15.2,29.3,33.3,32.7,47.3,34.6,2018,"NO FINALISTA"
"Tennessee Martin",29,10,49.8,21.6,19,28.5,32,24.1,50.7,32.2,2018,"NO FINALISTA"
"San Jose St.",29,4,48.6,23.6,14.9,27.8,24.8,34.2,46.2,36.2,2018,"NO FINALISTA"
"Sacramento St.",30,7,49,17.9,17.5,24.1,29.5,27.8,47.7,34.6,2018,"NO FINALISTA"
"Samford",30,10,54.4,19.1,18.7,24.7,34.8,30.8,53.3,37.2,2018,"NO FINALISTA"
"Siena",32,8,48.2,21.7,15.6,31.4,29,36.4,44.7,36.7,2018,"NO FINALISTA"
"Little Rock",30,7,47.4,21.7,19.9,28.3,31.2,32.1,47.3,31.8,2018,"NO FINALISTA"
"Bethune Cookman",30,18,49.5,20.3,17.6,32.9,30.5,41.2,51,31.2,2018,"NO FINALISTA"
"Binghamton",29,11,49.7,18.3,17,25.9,26.7,30,48.1,34.8,2018,"NO FINALISTA"
"SIU Edwardsville",30,9,47.8,19.4,17.5,29.3,29.4,33,47.2,32.4,2018,"NO FINALISTA"
"Dartmouth",26,7,51.4,20,18.1,23.9,27.2,32.8,49.7,36,2018,"NO FINALISTA"
"East Carolina",30,10,48.3,20.6,17.3,27.8,32.5,28.7,49.6,30.5,2018,"NO FINALISTA"
"Youngstown St.",30,8,47.6,19.4,19.4,34.7,29.9,28.4,46.5,33.2,2018,"NO FINALISTA"
"Central Connecticut",32,14,51,21.8,16.6,31.1,28.3,32.6,51.8,32.9,2018,"NO FINALISTA"
"Sacred Heart",30,10,48.5,21.5,14.6,32.5,22.6,30,50.3,29.9,2018,"NO FINALISTA"
"Chattanooga",31,10,50.1,20.6,19.2,26.6,27.8,34.6,48.6,34.8,2018,"NO FINALISTA"
"Marist",31,6,52.7,21.7,14.8,22.6,29.8,35.8,53,34.9,2018,"NO FINALISTA"
"St. Francis NY",29,13,48.7,17.7,20.9,26.2,31.9,30.4,46.4,34.6,2018,"NO FINALISTA"
"The Citadel",29,11,49.1,18.7,19.6,27.4,33.7,32.7,47.9,33.4,2018,"NO FINALISTA"
"Kennesaw St.",28,10,49.4,19.2,18.8,29.6,33.6,35,47.5,36.9,2018,"NO FINALISTA"
"Stetson",28,12,48.9,14.9,18.5,23.2,27.5,25,48.7,32.9,2018,"NO FINALISTA"
"Western Carolina",30,12,46.8,21.7,21,29,32.7,31.8,45.3,33,2018,"NO FINALISTA"
"Grambling St.",30,17,45.6,21,20.2,32,30.5,40.7,44.5,32.6,2018,"NO FINALISTA"
"Norfolk St.",30,14,49.4,21.1,20.2,31.6,29.8,31.3,46.1,37,2018,"NO FINALISTA"
"Charlotte",28,6,48.3,20.6,17.6,26.2,28.8,38.9,46.5,34.6,2018,"NO FINALISTA"
"Savannah St.",30,15,48.1,16.7,20.9,26.7,35.8,29.3,51.5,30.2,2018,"NO FINALISTA"
"Detroit",30,8,49.1,18.2,17.2,27,31.4,31.1,48.5,33.3,2018,"NO FINALISTA"
"Loyola MD",30,9,47.8,18.9,18.7,29.1,26.4,33.3,48.1,31.3,2018,"NO FINALISTA"
"American",30,6,50.7,20.4,20.4,23.8,31.4,30.4,50.7,33.8,2018,"NO FINALISTA"
"Texas A&M Corpus Chris",26,11,48.1,23,21.2,28.8,29.3,37,46.7,34.4,2018,"NO FINALISTA"
"Jacksonville",29,15,49,19.2,17.8,25.9,29.7,30,48.8,33,2018,"NO FINALISTA"
"North Carolina A&T",33,20,51.2,19.5,18,27.8,28.6,37.5,54.3,30.3,2018,"NO FINALISTA"
"North Carolina Central",32,19,50.4,20.8,16.8,32.9,29.7,30.3,51.3,32.3,2018,"FINALISTA"
"Cal St. Northridge",28,6,47.7,18.3,16.4,23.3,32.7,28.3,45.9,34.7,2018,"NO FINALISTA"
"Houston Baptist",28,6,46,18.8,18.8,34,31.2,35.5,44.4,32.8,2018,"NO FINALISTA"
"Morgan St.",30,13,45.6,18.7,20.5,33.5,30.7,39.3,44.8,32,2018,"NO FINALISTA"
"Southern",31,15,44.3,19.3,17.4,32.9,30.1,41.5,42.3,33.2,2018,"NO FINALISTA"
"USC Upstate",28,7,50.1,16.1,15,27,30.8,21.6,49.3,34.1,2018,"NO FINALISTA"
"Maine",30,6,46,21.8,18.1,25.5,30.7,29.2,47.1,29.6,2018,"NO FINALISTA"
"Cal Poly",29,9,46.6,17.4,16.3,24.7,29.6,26.7,41.5,35.8,2018,"NO FINALISTA"
"Northern Arizona",30,5,44.9,22,19,27,29.5,42.6,44.5,30.5,2018,"NO FINALISTA"
"Arkansas Pine Bluff",35,14,49.6,20.6,22.7,23.4,37.8,36.6,49.7,32.9,2018,"NO FINALISTA"
"Presbyterian",29,11,49,18.8,17.8,24.9,30,28,46.8,34.6,2018,"NO FINALISTA"
"VMI",28,9,45.7,21.4,18.8,25.4,30.3,27.7,43.7,32.3,2018,"NO FINALISTA"
"Incarnate Word",24,7,47.6,23.2,17.7,26.9,35.4,41.1,45.4,34.6,2018,"NO FINALISTA"
"Alcorn St.",28,11,48.3,20.8,17.9,27.1,33.1,33.7,47.8,32.7,2018,"NO FINALISTA"
"Jackson St.",30,12,43,17.3,21.4,30.7,31.7,24.9,39.3,32.8,2018,"NO FINALISTA"
"Howard",31,10,48.8,18,18.8,28.9,34.9,34.5,46.7,34.9,2018,"NO FINALISTA"
"Bryant",31,3,47.9,18.2,17.9,26.2,34.1,27.8,45.5,34.4,2018,"NO FINALISTA"
"Longwood",30,7,46.3,23,17.6,22.7,30.5,35.3,45.8,31.5,2018,"NO FINALISTA"
"Alabama St.",31,8,46.5,19.9,18.3,31.9,34.7,35.2,45.2,32.8,2018,"NO FINALISTA"
"South Carolina St.",30,10,46.7,18.5,18.9,29.4,32.8,35.9,45.7,32.7,2018,"NO FINALISTA"
"Chicago St.",30,3,44.6,20.9,18.2,25.5,34.6,31.6,43.6,31.4,2018,"NO FINALISTA"
"Northwestern St.",25,4,44.3,24.7,19.1,32.4,34.5,33.2,44.9,28.3,2018,"NO FINALISTA"
"Florida A&M",33,9,47.2,19.5,18.7,27.5,36.5,32.1,44.8,35.1,2018,"NO FINALISTA"
"Coppin St.",32,5,43.3,20.5,17.9,22.3,31.9,27.1,41,30.5,2018,"NO FINALISTA"
"Mississippi Valley St.",32,4,42.6,19.1,19.6,30.4,31.1,29.1,41.6,30.1,2018,"NO FINALISTA"
"Maryland Eastern Shore",30,7,43.1,19.4,16,28.2,34.7,29.7,44.3,27.5,2018,"NO FINALISTA"
"Alabama A&M",31,3,45,24.2,16.6,30,32.5,31.4,44.8,30.3,2018,"NO FINALISTA"
"Delaware St.",30,4,47.3,22.8,18.2,29.3,33.7,28.5,46.1,33.2,2018,"NO FINALISTA"
"Gonzaga",37,33,59,14.9,19,31.5,26.8,35.3,61.4,36.3,2019,"FINALISTA"
"Virginia",38,35,55.2,14.7,17.5,30.4,25.4,29.1,52.5,39.5,2019,"FINALISTA"
