"TEAM","G","W","EFG_O","TOR","TORD","ORB","DRB","FTR","X2P_O","X3P_O","YEAR","CATEGORIA"
"North Dakota St.",33,19,53.5,15.7,14.4,20.7,25.9,32.2,52.1,36.7,2019,"FINALISTA"
"Iona",33,17,53,17.3,18.5,25.1,30.7,36.8,53.2,35.1,2019,"FINALISTA"
"Prairie View A&M",34,22,49,17.4,24.7,29.7,34.3,43.1,49.2,32.4,2019,"FINALISTA"
"Fairleigh Dickinson",33,21,54.2,19.7,20.2,29.5,33.2,35.7,51,40.1,2019,"FINALISTA"
"North Carolina Central",31,18,49.9,22.7,17.5,34.8,26.9,33.5,51.3,31.5,2019,"FINALISTA"
"Texas",37,21,50.9,16.2,18.9,28.1,29.5,29.7,49.8,34.8,2019,"NO FINALISTA"
"Clemson",34,20,50.7,19.7,19.8,27.8,24.5,33.5,51.5,32.8,2019,"NO FINALISTA"
"Penn St.",32,14,47.5,18.1,19.6,31.9,26.3,32.3,47.2,32,2019,"NO FINALISTA"
"TCU",37,23,52.1,19.2,18.6,31.2,28.7,31.7,52.3,34.6,2019,"NO FINALISTA"
"North Carolina St.",36,24,52,17.3,21.5,36,28.8,28.5,51.6,35.2,2019,"NO FINALISTA"
"Nebraska",35,19,49.2,14.3,19.3,28.5,32.1,33,48.6,33.4,2019,"NO FINALISTA"
"Creighton",34,20,56.2,18.6,19.1,24.7,26.8,29,55.7,37.9,2019,"NO FINALISTA"
"Arkansas",34,18,51,18.3,22.5,28.3,34.8,38.4,50.6,34.5,2019,"NO FINALISTA"
"Indiana",35,19,51,17.9,18.1,28.1,28.1,34.6,53.1,31.2,2019,"NO FINALISTA"
"Missouri",32,15,50.5,21,18.1,31.9,25.7,29.8,47.6,36.3,2019,"NO FINALISTA"
"Memphis",36,22,51,19.8,21.3,33.4,30.9,37.3,52.5,32.2,2019,"NO FINALISTA"
"Wichita St.",37,22,46.9,17.4,17.6,32.5,26.9,28.8,47.1,31,2019,"NO FINALISTA"
"Alabama",34,18,50.3,19.5,16.9,31.5,28,38,49.9,34,2019,"NO FINALISTA"
"Lipscomb",35,29,54.8,17.8,19.6,26,23.8,36.3,53.8,37.5,2019,"NO FINALISTA"
"Dayton",33,21,56.1,18.8,16.8,26.9,27.4,32.1,59.5,33.2,2019,"NO FINALISTA"
"South Carolina",31,16,48.3,19.2,20.3,31.8,31.1,36.2,44.9,36.5,2019,"NO FINALISTA"
"Furman",30,25,55.4,18.4,20.1,28.7,30,24.9,56.7,36,2019,"NO FINALISTA"
"Xavier",35,19,52.8,19.6,16.2,32.2,27.2,32.6,54.7,33.1,2019,"NO FINALISTA"
"Toledo",32,25,53.2,17.4,15.4,28.1,25.7,26.1,50.4,38,2019,"NO FINALISTA"
"Illinois",33,12,49.6,18.4,21.8,29.1,31.9,29.5,48.2,34.5,2019,"NO FINALISTA"
"Miami FL",32,14,50.8,16.9,19.8,25.9,29.8,30.8,51.4,33.3,2019,"NO FINALISTA"
"Colorado",36,23,51,19.1,17.4,30.7,23.6,37.2,52.3,32.3,2019,"NO FINALISTA"
"Providence",34,18,48,18.7,20.2,31.8,28.3,39.1,47.5,32.6,2019,"NO FINALISTA"
"Butler",33,16,52.1,16.1,18.9,25.7,27.6,25.2,51.4,35.3,2019,"NO FINALISTA"
"San Francisco",30,21,53.5,15.1,17.2,28.9,25,30.9,53.8,35.4,2019,"NO FINALISTA"
"Rutgers",31,14,47,19.1,17.4,33.4,27,31.7,47.2,31.2,2019,"NO FINALISTA"
"Northwestern",32,13,46.6,16.1,17.9,24.2,26.3,30.2,46.4,31.3,2019,"NO FINALISTA"
"Oklahoma St.",32,12,50.1,18,17.6,26.4,29.4,30.6,46,37.2,2019,"NO FINALISTA"
"USC",33,16,52.8,16.5,18.1,27,29.9,27.6,50.3,38.2,2019,"NO FINALISTA"
"Texas A&M",32,14,49.3,20,18.5,32.7,32.5,34.2,51,30.8,2019,"NO FINALISTA"
"West Virginia",36,15,47.5,21.3,18.5,36.9,28.7,38.9,47.6,31.6,2019,"NO FINALISTA"
"Fresno St.",31,23,54.5,18.2,19.5,27.4,25.4,30.2,51.9,38.2,2019,"NO FINALISTA"
"SMU",32,15,51.2,16.6,17.5,33.4,31.6,27.8,51.3,34.1,2019,"NO FINALISTA"
"Notre Dame",33,14,46.2,14,16.4,29,31.1,30.1,45.4,31.5,2019,"NO FINALISTA"
"Davidson",33,24,53.1,16.7,16.7,23.3,24.8,28.3,52.8,35.6,2019,"NO FINALISTA"
"San Diego",35,21,52.4,18.8,17.5,24.1,22,32.4,52.4,34.8,2019,"NO FINALISTA"
"BYU",32,19,52.8,15.3,17.6,23.7,27,40,54.7,33,2019,"NO FINALISTA"
"Utah",31,17,55,19.2,14.7,31,27.1,35.5,54.6,37,2019,"NO FINALISTA"
"Georgia Southern",31,21,54.3,18.6,20,27.4,28.7,35,56.8,32.4,2019,"NO FINALISTA"
"UCLA",33,17,52,19,15.1,30.8,27.1,38.2,51.4,35.5,2019,"NO FINALISTA"
"South Dakota St.",32,24,58.5,16.3,15.6,23.9,22.7,31.9,56.2,41.2,2019,"NO FINALISTA"
"Arizona",32,17,49,16.7,20.3,28.4,25.9,33.3,48.1,33.6,2019,"NO FINALISTA"
"Connecticut",33,16,51,18.5,20,32.3,30.2,32.7,50.7,34.4,2019,"NO FINALISTA"
"South Florida",37,24,49.1,22.6,21.9,36.3,26.8,48.1,48.5,33.3,2019,"NO FINALISTA"
"Penn",30,19,52.6,18.4,19,24.8,26.3,28.1,52.9,34.7,2019,"NO FINALISTA"
"Oregon St.",31,18,52.2,18.3,17.6,30.8,29,36.8,54.5,32.1,2019,"NO FINALISTA"
"UNC Greensboro",34,29,51.2,17.1,22.2,31.4,29.7,30.6,51.4,33.8,2019,"NO FINALISTA"
"Wright St.",33,21,51,17.3,20.1,30.8,25.9,35.1,50.4,34.6,2019,"NO FINALISTA"
"Georgetown",33,19,51,17.9,16.3,29.1,26.2,38.2,49.6,35.6,2019,"NO FINALISTA"
"St. Bonaventure",34,18,48.3,18.7,19.8,29.2,28.7,28.2,47.9,32.8,2019,"NO FINALISTA"
"Loyola Chicago",33,20,55.1,18.8,20.5,19.9,21.7,32,55,36.7,2019,"NO FINALISTA"
"Akron",31,17,48.2,17.3,19.1,25.1,29.9,27.7,48.8,31.7,2019,"NO FINALISTA"
"East Tennessee St.",32,24,54.6,20,20.5,37,23.9,30,55,35.9,2019,"NO FINALISTA"
"San Diego St.",33,21,49.9,18.3,18.8,28.9,28.4,35.2,47.9,35.6,2019,"NO FINALISTA"
"Hofstra",34,27,55.9,13.8,18.3,26.8,29.9,37.7,54.5,38.7,2019,"NO FINALISTA"
"Harvard",30,19,53.3,22.6,17.5,28.7,23.1,31.6,52.7,36.1,2019,"NO FINALISTA"
"Tulsa",32,18,51.2,18,17.6,23,29.4,43.4,51.3,34,2019,"NO FINALISTA"
"Southern Miss",29,20,53.1,15.7,19.4,22.9,28.1,24.1,49.9,39.1,2019,"NO FINALISTA"
"Bowling Green",32,22,50.5,16.6,17.8,30.7,24.8,34.9,48.8,35.8,2019,"NO FINALISTA"
"Pittsburgh",33,14,47.9,19.6,21.3,32.1,32.8,42.3,46.9,33.1,2019,"NO FINALISTA"
"Boise St.",32,13,53.9,17.3,18.5,23.5,24.4,31.8,54.7,35.2,2019,"NO FINALISTA"
"DePaul",36,19,52.7,18.8,17.7,32.7,25.6,36.1,53.3,34.3,2019,"NO FINALISTA"
"Grand Canyon",33,20,51.4,17.3,19.3,29,25.7,33.7,52.5,33.1,2019,"NO FINALISTA"
"Drake",32,24,53.3,19.1,16.8,24.3,26,32.6,53.2,35.7,2019,"NO FINALISTA"
"Georgia",32,11,50.1,22.5,15.5,32.7,31,41.3,51.1,32.2,2019,"NO FINALISTA"
"Boston College",31,14,48.5,17.5,16.6,28.6,31.5,35,49.1,31.7,2019,"NO FINALISTA"
"Loyola Marymount",32,22,49.5,19.3,21.6,29.4,27.2,36.7,50.3,31.6,2019,"NO FINALISTA"
"Western Kentucky",34,20,49.9,19.6,18.5,29.6,28.1,37.9,50.2,32.7,2019,"NO FINALISTA"
"Austin Peay",31,22,52.9,16.6,20.8,32.3,30,34.7,51.1,37.5,2019,"NO FINALISTA"
"Georgia Tech",32,14,49.2,21,18.7,25.3,31.6,34.3,50.7,30.7,2019,"NO FINALISTA"
"Utah Valley",33,25,55.6,20.2,16.5,28,26.6,40.3,54.2,38.5,2019,"NO FINALISTA"
"Jacksonville St.",31,24,50.5,18.8,20.4,33,25.6,30.2,52.3,31,2019,"NO FINALISTA"
"Stanford",31,15,51.2,20.8,17.2,29.9,28.3,36.1,53.2,31.7,2019,"NO FINALISTA"
"Central Michigan",32,23,51.4,16.2,18.7,31,33.1,40,48.9,36.9,2019,"NO FINALISTA"
"College of Charleston",32,24,54.2,15.6,19.1,25.6,25.9,33.5,56.3,33.7,2019,"NO FINALISTA"
"Rhode Island",33,18,47.4,17.8,20.2,31.3,27.9,36.8,50,28,2019,"NO FINALISTA"
"UTSA",28,17,49.5,16.4,18.1,26.1,28.4,26.2,48,34.3,2019,"NO FINALISTA"
"Ball St.",32,16,51.8,20.2,17.9,27.5,28.6,37.6,53.5,32.2,2019,"NO FINALISTA"
"Kent St.",31,22,49.6,16.4,19,33.2,30.6,31.8,49.1,33.6,2019,"NO FINALISTA"
"Radford",30,22,52.8,16.4,18.1,29.7,24.9,27,50.1,38,2019,"NO FINALISTA"
"Louisiana Monroe",34,19,54,16.2,17.4,26.9,29,35.8,49.6,39.7,2019,"NO FINALISTA"
"Texas St.",32,24,50,19.6,20.7,33.2,24.7,34.4,50.8,32.4,2019,"NO FINALISTA"
"Samford",32,17,54.1,19.3,18.1,28.1,31.2,33.9,53,37.3,2019,"NO FINALISTA"
"Coastal Carolina",32,17,51.8,19.6,18,32.7,28.6,39.4,49.4,37,2019,"NO FINALISTA"
"Northern Illinois",32,17,52.6,17.2,17.9,27.2,26.7,26.5,51.6,36.5,2019,"NO FINALISTA"
"UT Arlington",32,17,47,20.3,18.1,31,28,34.5,47.9,30.5,2019,"NO FINALISTA"
"Miami OH",30,15,48.6,18.7,16.7,30,25.3,34.7,48.7,32.3,2019,"NO FINALISTA"
"Pepperdine",33,16,52,18,20.9,24.9,29.5,35.7,48.4,37.9,2019,"NO FINALISTA"
"Brown",30,20,50.4,20.3,20.9,24.5,27.5,36.7,50.2,33.8,2019,"NO FINALISTA"
"Louisiana Tech",31,20,49.8,17,19.2,29.4,28.8,35.9,49.3,33.7,2019,"NO FINALISTA"
"UAB",33,20,50.4,16.8,17.9,30.6,26.2,31.8,51.3,32.6,2019,"NO FINALISTA"
"Bucknell",33,21,53,17.3,16.6,25.8,27.6,33.9,53.3,35.1,2019,"NO FINALISTA"
"Richmond",33,13,54.1,15.3,18.5,19.1,29.9,30.7,55.5,34.7,2019,"NO FINALISTA"
"Wake Forest",31,11,44.8,19.4,16.1,33.9,27.3,37.6,44.1,30.8,2019,"NO FINALISTA"
"Vanderbilt",32,9,48.6,20.5,16.4,29,29.3,40.6,50,31.1,2019,"NO FINALISTA"
"Florida Atlantic",30,17,47.9,20.7,18.1,29,25.4,28.6,47,32.6,2019,"NO FINALISTA"
"Saint Joseph's",33,14,48,13.5,15.7,22,24.4,31.7,47.8,32.2,2019,"NO FINALISTA"
"Eastern Michigan",28,15,48.5,20.8,20.1,34.3,34.9,33.9,50.5,29.9,2019,"NO FINALISTA"
"Louisiana Lafayette",30,19,50.9,17.4,20,29.1,31.9,35.1,50.5,34.2,2019,"NO FINALISTA"
"North Texas",30,21,49.2,20.1,19.8,30.7,24.4,27.7,50.5,31.7,2019,"NO FINALISTA"
"Oakland",32,16,54.3,18.4,17.2,25.7,32.5,35.7,52.3,37.9,2019,"NO FINALISTA"
"Southern Illinois",32,17,52.8,21,19.1,28.8,29.2,32,51.2,37.4,2019,"NO FINALISTA"
"Marshall",37,23,51.9,15.9,20.8,22.9,32.3,30.5,52.3,34.2,2019,"NO FINALISTA"
"Charleston Southern",30,18,49.8,18,21.1,29.1,27.7,27,48.4,34.5,2019,"NO FINALISTA"
"Fort Wayne",30,18,55.8,16.8,17.1,23.1,28.6,26.9,55.8,37.2,2019,"NO FINALISTA"
"Northern Iowa",32,16,48.9,17.9,18.2,23.2,23.1,27.6,46.2,35,2019,"NO FINALISTA"
"Duquesne",32,19,49.9,19.8,21.6,31.9,35.1,35,51.1,32.2,2019,"NO FINALISTA"
"Princeton",26,16,47,17.8,17.2,24.3,24.7,29.8,48.1,30.3,2019,"NO FINALISTA"
"Northern Colorado",30,21,53,18.4,18.6,27.7,25.6,34.8,53.6,34.9,2019,"NO FINALISTA"
"Seattle",31,18,49.1,17.5,15.8,29.3,26.5,34.3,46.1,36.8,2019,"NO FINALISTA"
"Missouri St.",31,16,51.2,18.2,21.8,25.4,25.3,36.9,51.4,33.9,2019,"NO FINALISTA"
"UNLV",31,17,49.5,18.6,17.6,35.5,27.7,34.9,48.8,33.7,2019,"NO FINALISTA"
"Sam Houston St.",30,21,51.8,18.3,21.2,29.7,28.6,26,48.6,37.5,2019,"NO FINALISTA"
"Lehigh",31,20,56.4,18.5,15.6,23.5,27.5,34.9,51.9,42.4,2019,"NO FINALISTA"
"Illinois Chicago",30,16,53.3,20,17.6,24.9,30.4,27.8,54.1,34.9,2019,"NO FINALISTA"
"Nebraska Omaha",31,21,54.4,13.5,16.8,24.8,25.6,24.1,51.8,39.3,2019,"NO FINALISTA"
"George Mason",33,18,50.1,18.9,18.2,29,27.2,34.2,50.5,33,2019,"NO FINALISTA"
"Green Bay",36,21,51.5,17.2,18.8,26.4,31.4,33.9,51.4,34.5,2019,"NO FINALISTA"
"North Florida",31,16,52.1,21.8,16.9,29.4,32.7,25.3,53.2,33.9,2019,"NO FINALISTA"
"Colorado St.",31,12,54.4,17,16.2,23.9,27.1,31.9,55.5,35.2,2019,"NO FINALISTA"
"Hampton",32,18,48.9,14.6,16.3,28.1,26.6,34.8,47.5,34.1,2019,"NO FINALISTA"
"Presbyterian",33,20,53.4,14.7,17.9,25.3,27.4,30.5,50.1,38,2019,"NO FINALISTA"
"American",30,15,53.2,18.7,17.7,26.1,27.4,35.8,55.6,32.5,2019,"NO FINALISTA"
"Campbell",30,20,52.8,14.8,19.5,23.7,28.9,31.2,54.8,33.8,2019,"NO FINALISTA"
"Santa Clara",30,16,51.6,20.5,16.3,24.1,28.3,33.9,49.8,36.2,2019,"NO FINALISTA"
"Stony Brook",32,24,48.1,20.7,18.6,33.2,26.1,35.4,47.7,32.6,2019,"NO FINALISTA"
"Winthrop",27,18,54.2,20.2,15.4,28.7,25.5,30.4,53.3,36.7,2019,"NO FINALISTA"
"Ohio",30,14,48.6,20,18.5,28.2,27.4,33.2,50.7,29.7,2019,"NO FINALISTA"
"New Mexico",31,14,49.5,19.4,18.3,29.3,28.6,39.3,47.8,34.4,2019,"NO FINALISTA"
"Appalachian St.",29,11,51.4,17.8,17.4,25.9,29.8,37,51.3,34.4,2019,"NO FINALISTA"
"Cal Baptist",27,16,51.2,18,15.1,28.8,28.9,32.4,50.4,34.8,2019,"NO FINALISTA"
"UC Santa Barbara",30,22,50.3,16.8,16.6,33.1,26.2,39.5,49.4,34.8,2019,"NO FINALISTA"
"La Salle",31,10,47.2,20.2,19.8,28.9,28.9,28.5,45.3,33.1,2019,"NO FINALISTA"
"UT Rio Grande Valley",35,20,46.3,18,24.3,26.5,32.6,42.7,46,31.3,2019,"NO FINALISTA"
"IUPUI",31,16,50.2,19.6,19.6,34.3,27.8,35.2,50.5,33,2019,"NO FINALISTA"
"Indiana St.",29,15,48.6,18.6,19.4,23.7,27.2,35.8,46.7,35.6,2019,"NO FINALISTA"
"Mercer",29,11,51,19.3,20.1,28.8,32.3,35.7,51.2,33.8,2019,"NO FINALISTA"
"Columbia",26,10,51.5,18,18.9,24.3,27.2,22.4,50.6,35.4,2019,"NO FINALISTA"
"Hawaii",29,18,52.3,17.6,17.4,26.9,24.7,31.2,52.2,35,2019,"NO FINALISTA"
"FIU",30,20,48.9,17.7,23.4,25.7,34.4,37.9,52.2,29.3,2019,"NO FINALISTA"
"Hartford",32,18,54.2,17.8,19.3,25.3,31,33.1,51.5,38.2,2019,"NO FINALISTA"
"Washington St.",32,11,52.8,19.2,17.1,25.2,29.5,30.3,51.5,36.4,2019,"NO FINALISTA"
"Dartmouth",28,11,51.8,17.6,16,23.9,24.8,24.8,50.6,35.8,2019,"NO FINALISTA"
"Illinois St.",32,17,49.1,18.4,18.2,26,26.1,28.6,49.1,32.7,2019,"NO FINALISTA"
"South Alabama",32,17,52.9,19.5,19.7,25.5,31.9,35.1,51.1,37,2019,"NO FINALISTA"
"California",31,8,48.6,16.5,20.5,23.3,31.4,34.8,46.5,35,2019,"NO FINALISTA"
"Lamar",29,20,49.3,20,19.8,36.2,27.4,42.3,48.8,33.6,2019,"NO FINALISTA"
"NJIT",34,22,50.7,17.1,17.9,21.9,27.1,38.4,49.8,34.8,2019,"NO FINALISTA"
"Pacific",30,14,47.7,19.6,19.2,26.8,23.1,40.5,44.9,35.6,2019,"NO FINALISTA"
"Rider",31,16,50.6,18,22.8,30.8,27.4,39.9,50.4,34,2019,"NO FINALISTA"
"William & Mary",30,14,54.4,18.3,15.6,24.5,26,31.3,55.8,35,2019,"NO FINALISTA"
"South Dakota",28,13,50.1,16.1,17.4,21.5,25.6,35.9,49.6,33.9,2019,"NO FINALISTA"
"Florida Gulf Coast",30,14,52.6,21.2,19.2,25.6,30.8,31.9,50.7,36.9,2019,"NO FINALISTA"
"Valparaiso",31,15,48.9,20.3,18.9,26.7,27.1,32.1,50.1,31,2019,"NO FINALISTA"
"Cornell",29,15,51.1,18.9,17.4,18.8,28.8,33.9,52.3,32.9,2019,"NO FINALISTA"
"High Point",29,16,49.1,20.4,16.3,34.1,25.5,33.8,51,30.3,2019,"NO FINALISTA"
"Cal St. Fullerton",32,16,49.1,19.1,16.8,24.5,27,38.5,50.3,30.8,2019,"NO FINALISTA"
"Weber St.",31,18,53.2,16,15.8,19.2,26.9,37.1,53.4,35.2,2019,"NO FINALISTA"
"Long Beach St.",32,15,47.6,19,18.9,28.9,33,40.8,46.3,33.8,2019,"NO FINALISTA"
"Cal St. Bakersfield",31,18,46.6,19,20.1,37.9,29.6,29.2,46.7,31,2019,"NO FINALISTA"
"Massachusetts",32,11,51.1,20.2,16.8,31.5,27.1,31.3,50.2,35,2019,"NO FINALISTA"
"Boston University",32,15,53.4,18.8,18.2,28.6,25.1,24.8,54.5,34.2,2019,"NO FINALISTA"
"Detroit",31,11,49.7,16.3,19.8,29.3,36.4,31,46.7,35.6,2019,"NO FINALISTA"
"Texas Southern",36,24,50.8,19.8,19.9,32.5,31.7,40.8,52.2,32.1,2019,"NO FINALISTA"
"Little Rock",29,10,54.4,22.6,19.4,24.3,27.2,42.5,54.9,35.6,2019,"NO FINALISTA"
"Arkansas St.",30,13,47.2,19.4,17.1,33.7,29.8,37.9,46.5,32.3,2019,"NO FINALISTA"
"Eastern Washington",33,16,50.3,17.1,16.6,24.6,23.6,27,48.9,34.8,2019,"NO FINALISTA"
"Air Force",31,14,51.3,19.3,17.8,23.2,24.1,28.3,53.1,32.3,2019,"NO FINALISTA"
"Chattanooga",29,12,51.5,19.1,15.4,24.6,28.4,24.2,49.3,36.3,2019,"NO FINALISTA"
"Eastern Kentucky",29,13,47.8,18.2,21.5,27.3,31.1,32.6,47.7,32,2019,"NO FINALISTA"
"East Carolina",31,10,46.1,19,19.5,28.2,31,35.6,47.7,28.4,2019,"NO FINALISTA"
"Southeastern Louisiana",31,17,50.4,24.1,20.9,32.5,28.2,37.2,50.4,33.6,2019,"NO FINALISTA"
"Army",31,13,49.6,16.5,18.7,21.6,22.9,24.3,51,31.8,2019,"NO FINALISTA"
"Siena",33,17,51.5,15.6,18,23.6,28.5,24.7,52.1,33.9,2019,"NO FINALISTA"
"Marist",31,12,52.3,18.9,19.3,24.3,26.6,32.2,50.8,36.3,2019,"NO FINALISTA"
"UMKC",31,11,49.8,17.2,20.9,23.5,32.3,32.4,47.8,35.2,2019,"NO FINALISTA"
"Quinnipiac",31,16,52.8,19.4,15.7,29.8,29.3,37.3,48.5,37.7,2019,"NO FINALISTA"
"Western Michigan",31,8,48,21.7,15.2,29.7,27.6,36.7,49.4,30.5,2019,"NO FINALISTA"
"Fordham",31,12,46.8,16.4,19.1,25.1,28,24.5,44.7,33,2019,"NO FINALISTA"
"UMBC",31,21,48.4,18.3,22.9,24.5,24.4,31.1,49.5,31.3,2019,"NO FINALISTA"
"Youngstown St.",30,12,49.6,18.5,16.2,33.5,28.9,23.1,48.5,34.1,2019,"NO FINALISTA"
"Holy Cross",33,16,52.7,16.1,22.1,20.6,32.9,23.1,52.5,35.4,2019,"NO FINALISTA"
"St. Francis PA",31,18,48.8,17.4,16.9,33.4,28.6,35,46.5,35.3,2019,"NO FINALISTA"
"Middle Tennessee",30,11,46.7,22.8,17.5,32.3,28.1,29.6,45.7,32.3,2019,"NO FINALISTA"
"Troy",28,12,51,19.9,17.1,27.2,31.1,31.7,51.7,33.2,2019,"NO FINALISTA"
"North Dakota",26,12,51.3,17.9,17.3,21,25.4,27.2,49.6,36,2019,"NO FINALISTA"
"The Citadel",27,12,52,17.3,16.9,25.1,31.8,25.8,54.2,33.5,2019,"NO FINALISTA"
"UC Davis",29,11,49,19.9,21.1,22.1,27.7,29.7,49,32.7,2019,"NO FINALISTA"
"Evansville",30,11,49.4,18.5,17.1,18.9,26.2,37.5,47.9,34.2,2019,"NO FINALISTA"
"Rice",30,13,50.1,18.9,14.9,26.6,24.4,38.5,48.1,35.3,2019,"NO FINALISTA"
"Cal St. Northridge",33,13,51.5,16.7,17.1,28.4,32.5,31.8,50.3,36.1,2019,"NO FINALISTA"
"LIU Brooklyn",31,16,50.7,20.1,18.5,28.3,29.5,34.4,50.3,34.1,2019,"NO FINALISTA"
"Morehead St.",31,13,48.4,17.2,17.7,27.8,31.6,33.9,47.1,33.6,2019,"NO FINALISTA"
"Sacred Heart",31,15,51.7,19.9,16.5,31.8,27,38.1,51.1,35.2,2019,"NO FINALISTA"
"Norfolk St.",33,22,49.6,20.3,20.7,27.4,28.9,38.2,46.1,37,2019,"NO FINALISTA"
"Tulane",31,4,47.1,21,15.1,27,30.9,32.8,46.7,31.8,2019,"NO FINALISTA"
"Delaware",31,17,53.3,17.2,14.9,24.2,28.8,31.2,50.9,37.8,2019,"NO FINALISTA"
"Longwood",31,16,52.4,20.4,17.4,24.5,25.2,33.6,50.8,36,2019,"NO FINALISTA"
"Oral Roberts",30,11,52.2,20.4,14.5,29.8,27.1,26.1,50.7,36.4,2019,"NO FINALISTA"
"Navy",31,12,46.8,20.7,16.6,31.8,25.5,30.5,46.4,31.7,2019,"NO FINALISTA"
"Loyola MD",32,11,51.6,19.5,20.6,27.9,29.6,33.6,51.8,34.2,2019,"NO FINALISTA"
"UNC Wilmington",32,10,50.5,18.5,14.5,31.7,26.7,32.8,49.3,35,2019,"NO FINALISTA"
"Milwaukee",30,9,48.1,18,15.3,26.7,28.3,28.2,46.5,33.8,2019,"NO FINALISTA"
"Cleveland St.",29,10,51.5,18.5,16.8,26.3,33,31.7,48.9,36.5,2019,"NO FINALISTA"
"Albany",31,12,49.3,20.9,18.5,27.3,28.3,32.5,46.9,34.8,2019,"NO FINALISTA"
"Tennessee Martin",29,12,50.4,18.8,19.3,31.5,34.7,26.4,49.9,34.1,2019,"NO FINALISTA"
"St. Francis NY",31,17,48.5,17.6,19.2,26.9,28.5,28.6,47.3,33.5,2019,"NO FINALISTA"
"Southern Utah",32,17,50.2,18.9,16.9,23.2,24.7,39.4,50,33.7,2019,"NO FINALISTA"
"New Orleans",29,19,48,21.8,22.5,32.8,34.2,36,47.2,33.3,2019,"NO FINALISTA"
"Grambling St.",31,17,50,22.1,18,25.8,29.4,43,45.5,40.2,2019,"NO FINALISTA"
"Drexel",31,13,51.3,16.6,14.6,29.2,26.3,30.6,50.9,34.7,2019,"NO FINALISTA"
"George Washington",33,9,45.8,18.2,17.1,23.4,28.5,32.6,45.3,31.1,2019,"NO FINALISTA"
"Jacksonville",30,12,49.6,19.9,18.2,28.3,27.4,30.5,51,31.2,2019,"NO FINALISTA"
"Sacramento St.",28,15,48.7,19.1,21.4,28.2,27.1,33.5,48.3,33.1,2019,"NO FINALISTA"
"Montana St.",31,15,53.4,17.1,17.2,26.3,26.6,34.9,51.1,37.6,2019,"NO FINALISTA"
"Houston Baptist",28,12,49.6,19.5,20.2,33.8,29.6,42.4,49.3,33.4,2019,"NO FINALISTA"
"Fairfield",31,9,50.7,20.7,21.4,26.1,28.9,23.9,49.5,35,2019,"NO FINALISTA"
"Western Carolina",31,7,53.6,25.1,14.7,28.4,25.7,34.8,52.3,36.8,2019,"NO FINALISTA"
"Robert Morris",33,18,48.8,21,22.2,30.1,27.8,32.2,47.3,34.1,2019,"NO FINALISTA"
"Canisius",32,15,50.5,18.6,20.5,27,31.9,31.4,52,32.4,2019,"NO FINALISTA"
"Portland St.",29,16,46.9,19.4,18.8,38.7,28.5,37.3,48.3,29.8,2019,"NO FINALISTA"
"Towson",31,10,47.9,18.8,15.2,35.2,27.3,28.1,47.6,32.6,2019,"NO FINALISTA"
"James Madison",31,14,50.2,18.8,16.4,30.1,29.4,33.4,47.5,36.6,2019,"NO FINALISTA"
"Western Illinois",29,10,49.8,16.3,14.5,22.6,25.5,23.2,45.9,38.2,2019,"NO FINALISTA"
"Monmouth",35,14,45.8,20.6,21.2,29.3,28.5,40.3,46.4,29.7,2019,"NO FINALISTA"
"VMI",29,11,50.1,16.5,16.9,21.7,27.6,29.2,47.6,35.4,2019,"NO FINALISTA"
"Texas A&M Corpus Chris",28,14,47.9,22.3,20.1,31.1,27.5,29.8,47.6,32.3,2019,"NO FINALISTA"
"UMass Lowell",30,15,53.7,19.6,17.9,27,29.8,34.1,55.1,34.3,2019,"NO FINALISTA"
"Elon",30,11,52,18.4,15.2,22.4,28.3,24.3,52.2,34.6,2019,"NO FINALISTA"
"North Alabama",29,10,44.5,19.3,17.2,27.3,25.1,30.8,44.4,29.7,2019,"NO FINALISTA"
"Eastern Illinois",31,14,49.6,18.8,18.4,29.2,30.5,28.7,46.7,36.2,2019,"NO FINALISTA"
"Tennessee St.",28,9,49.1,22.7,20.3,28.7,28.4,36.2,49.3,32.6,2019,"NO FINALISTA"
"North Carolina A&T",30,19,51.1,19.4,20.7,27.1,34.7,31.1,51,34.1,2019,"NO FINALISTA"
"Nicholls St.",27,14,50.1,17.2,18.1,23.5,33.6,21.9,45.4,37,2019,"NO FINALISTA"
"Central Arkansas",30,14,49.1,19.7,18,24.5,30.9,34.2,46.3,35.3,2019,"NO FINALISTA"
"Lafayette",29,10,52.6,18.7,15.3,22.2,26.7,24.5,49.2,38.3,2019,"NO FINALISTA"
"Howard",31,17,48.5,16.8,19.8,29.2,33.4,33.8,45.5,36.8,2019,"NO FINALISTA"
"UTEP",27,8,45.7,22.8,19,26.7,26.7,34.7,44.3,32,2019,"NO FINALISTA"
"Bethune Cookman",29,14,48.3,21.5,19.7,33.5,31.5,37.1,48.3,32.4,2019,"NO FINALISTA"
"Northern Arizona",31,10,50.3,17,16.6,25.8,26.5,33.8,49.2,34.6,2019,"NO FINALISTA"
"Wyoming",31,8,49.1,19.9,17.4,15.9,28.8,39.1,47.1,34.5,2019,"NO FINALISTA"
"Niagara",32,13,49.2,17.3,16.2,27.1,26.2,33.3,46.1,35.9,2019,"NO FINALISTA"
"Charlotte",29,8,48.1,22,17.9,22.3,26.4,36.3,49.2,31.1,2019,"NO FINALISTA"
"Denver",29,8,50.2,19.7,15.7,26.4,22.9,26.2,47.8,36.2,2019,"NO FINALISTA"
